subject,image_file,mask_file,label,z,y,x,positive_voxels
sub-305,sub-305_positive_00000_z0_y120_x76.npy,sub-305_positive_00000_z0_y120_x76.npy,1,0,120,76,6
sub-305,sub-305_positive_00001_z0_y120_x80.npy,sub-305_positive_00001_z0_y120_x80.npy,1,0,120,80,12
sub-305,sub-305_positive_00002_z0_y120_x84.npy,sub-305_positive_00002_z0_y120_x84.npy,1,0,120,84,6
sub-305,sub-305_positive_00003_z0_y128_x76.npy,sub-305_positive_00003_z0_y128_x76.npy,1,0,128,76,6
sub-305,sub-305_positive_00004_z0_y128_x80.npy,sub-305_positive_00004_z0_y128_x80.npy,1,0,128,80,12
sub-305,sub-305_positive_00005_z0_y128_x84.npy,sub-305_positive_00005_z0_y128_x84.npy,1,0,128,84,6
sub-305,sub-305_positive_00006_z8_y120_x76.npy,sub-305_positive_00006_z8_y120_x76.npy,1,8,120,76,6
sub-305,sub-305_positive_00007_z8_y120_x80.npy,sub-305_positive_00007_z8_y120_x80.npy,1,8,120,80,12
sub-305,sub-305_positive_00008_z8_y120_x84.npy,sub-305_positive_00008_z8_y120_x84.npy,1,8,120,84,6
sub-305,sub-305_positive_00009_z8_y128_x76.npy,sub-305_positive_00009_z8_y128_x76.npy,1,8,128,76,6
sub-305,sub-305_positive_00010_z8_y128_x80.npy,sub-305_positive_00010_z8_y128_x80.npy,1,8,128,80,12
sub-305,sub-305_positive_00011_z8_y128_x84.npy,sub-305_positive_00011_z8_y128_x84.npy,1,8,128,84,6
sub-305,sub-305_positive_00012_z24_y40_x144.npy,sub-305_positive_00012_z24_y40_x144.npy,1,24,40,144,13
sub-305,sub-305_positive_00013_z24_y40_x148.npy,sub-305_positive_00013_z24_y40_x148.npy,1,24,40,148,13
sub-305,sub-305_positive_00014_z24_y48_x144.npy,sub-305_positive_00014_z24_y48_x144.npy,1,24,48,144,39
sub-305,sub-305_positive_00015_z24_y48_x148.npy,sub-305_positive_00015_z24_y48_x148.npy,1,24,48,148,39
sub-305,sub-305_positive_00016_z24_y56_x144.npy,sub-305_positive_00016_z24_y56_x144.npy,1,24,56,144,26
sub-305,sub-305_positive_00017_z24_y56_x148.npy,sub-305_positive_00017_z24_y56_x148.npy,1,24,56,148,26
sub-305,sub-305_positive_00018_z32_y40_x144.npy,sub-305_positive_00018_z32_y40_x144.npy,1,32,40,144,15
sub-305,sub-305_positive_00019_z32_y40_x148.npy,sub-305_positive_00019_z32_y40_x148.npy,1,32,40,148,15
sub-305,sub-305_positive_00020_z32_y48_x144.npy,sub-305_positive_00020_z32_y48_x144.npy,1,32,48,144,45
sub-305,sub-305_positive_00021_z32_y48_x148.npy,sub-305_positive_00021_z32_y48_x148.npy,1,32,48,148,45
sub-305,sub-305_positive_00022_z32_y56_x144.npy,sub-305_positive_00022_z32_y56_x144.npy,1,32,56,144,30
sub-305,sub-305_positive_00023_z32_y56_x148.npy,sub-305_positive_00023_z32_y56_x148.npy,1,32,56,148,30
sub-305,sub-305_positive_00024_z40_y40_x144.npy,sub-305_positive_00024_z40_y40_x144.npy,1,40,40,144,2
sub-305,sub-305_positive_00025_z40_y40_x148.npy,sub-305_positive_00025_z40_y40_x148.npy,1,40,40,148,2
sub-305,sub-305_positive_00026_z40_y48_x144.npy,sub-305_positive_00026_z40_y48_x144.npy,1,40,48,144,6
sub-305,sub-305_positive_00027_z40_y48_x148.npy,sub-305_positive_00027_z40_y48_x148.npy,1,40,48,148,6
sub-305,sub-305_positive_00028_z40_y56_x144.npy,sub-305_positive_00028_z40_y56_x144.npy,1,40,56,144,4
sub-305,sub-305_positive_00029_z40_y56_x148.npy,sub-305_positive_00029_z40_y56_x148.npy,1,40,56,148,4
sub-305,sub-305_negative_00030_z40_y168_x76.npy,sub-305_negative_00030_z40_y168_x76.npy,0,40,168,76,0
sub-305,sub-305_negative_00031_z96_y48_x172.npy,sub-305_negative_00031_z96_y48_x172.npy,0,96,48,172,0
sub-305,sub-305_negative_00032_z64_y168_x220.npy,sub-305_negative_00032_z64_y168_x220.npy,0,64,168,220,0
sub-305,sub-305_negative_00033_z48_y16_x0.npy,sub-305_negative_00033_z48_y16_x0.npy,0,48,16,0,0
sub-305,sub-305_negative_00034_z40_y208_x76.npy,sub-305_negative_00034_z40_y208_x76.npy,0,40,208,76,0
