stage1_thresh,stage2_thresh,nms_distance,sensitivity,fp_per_subject
0.7,0.6,10,0.379,201.45
0.6,0.5,10,0.379,237.73
0.6,0.7,10,0.379,180.18
0.6,0.6,10,0.379,207.55
0.7,0.5,10,0.379,231.18
0.7,0.7,10,0.379,174.73
0.5,0.6,10,0.362,210.18
0.5,0.5,10,0.362,241.27
0.5,0.7,10,0.362,182.64
0.7,0.6,15,0.293,117.91
0.7,0.7,15,0.293,107.55
0.7,0.5,15,0.293,130.09
0.7,0.8,10,0.276,146.55
0.5,0.5,15,0.276,134.82
0.6,0.7,15,0.276,111.0
0.6,0.6,15,0.276,121.27
0.6,0.5,15,0.276,133.64
0.5,0.6,15,0.276,122.45
0.5,0.7,15,0.276,112.09
0.5,0.8,10,0.276,153.36
0.6,0.8,10,0.276,151.0
0.5,0.8,15,0.259,97.82
0.7,0.8,15,0.259,93.18
0.6,0.8,15,0.259,96.36
0.7,0.5,20,0.172,72.55
0.7,0.7,20,0.172,62.45
0.7,0.6,20,0.172,67.36
0.5,0.5,20,0.155,75.64
0.6,0.6,20,0.155,69.64
0.6,0.5,20,0.155,74.45
0.5,0.7,20,0.155,65.36
0.5,0.8,20,0.155,60.18
0.5,0.6,20,0.155,70.73
0.6,0.8,20,0.155,59.55
0.6,0.7,20,0.155,64.64
0.7,0.8,20,0.155,57.55
