model,s1,s2,nms,sensitivity,fp_per_subject
v1_original,0.5,0.5,15,0.276,134.82
v1_original,0.5,0.5,20,0.155,75.64
v1_original,0.5,0.6,15,0.276,122.45
v1_original,0.5,0.6,20,0.155,70.73
v1_original,0.5,0.7,15,0.276,112.09
v1_original,0.5,0.7,20,0.155,65.36
v1_original,0.5,0.8,15,0.259,97.82
v1_original,0.5,0.8,20,0.155,60.18
v1_original,0.6,0.5,15,0.276,133.64
v1_original,0.6,0.5,20,0.155,74.45
v1_original,0.6,0.6,15,0.276,121.27
v1_original,0.6,0.6,20,0.155,69.64
v1_original,0.6,0.7,15,0.276,111.0
v1_original,0.6,0.7,20,0.155,64.64
v1_original,0.6,0.8,15,0.259,96.36
v1_original,0.6,0.8,20,0.155,59.55
v1_original,0.7,0.5,15,0.293,130.09
v1_original,0.7,0.5,20,0.172,72.55
v1_original,0.7,0.6,15,0.293,117.91
v1_original,0.7,0.6,20,0.172,67.36
v1_original,0.7,0.7,15,0.293,107.55
v1_original,0.7,0.7,20,0.172,62.45
v1_original,0.7,0.8,15,0.259,93.18
v1_original,0.7,0.8,20,0.155,57.55
v1_original,0.8,0.5,15,0.017,34.27
v1_original,0.8,0.5,20,0.0,23.55
v1_original,0.8,0.6,15,0.017,30.73
v1_original,0.8,0.6,20,0.0,21.27
v1_original,0.8,0.7,15,0.017,27.45
v1_original,0.8,0.7,20,0.0,19.73
v1_original,0.8,0.8,15,0.017,25.0
v1_original,0.8,0.8,20,0.0,18.27
v2_retrained,0.5,0.5,15,0.241,102.91
v2_retrained,0.5,0.5,20,0.138,59.45
v2_retrained,0.5,0.6,15,0.241,93.27
v2_retrained,0.5,0.6,20,0.138,55.18
v2_retrained,0.5,0.7,15,0.241,84.18
v2_retrained,0.5,0.7,20,0.138,50.91
v2_retrained,0.5,0.8,15,0.224,72.91
v2_retrained,0.5,0.8,20,0.138,47.0
v2_retrained,0.6,0.5,15,0.259,94.09
v2_retrained,0.6,0.5,20,0.172,55.09
v2_retrained,0.6,0.6,15,0.241,85.27
v2_retrained,0.6,0.6,20,0.155,52.0
v2_retrained,0.6,0.7,15,0.241,76.82
v2_retrained,0.6,0.7,20,0.155,47.36
v2_retrained,0.6,0.8,15,0.224,67.0
v2_retrained,0.6,0.8,20,0.138,43.55
v2_retrained,0.7,0.5,15,0.172,81.36
v2_retrained,0.7,0.5,20,0.103,49.36
v2_retrained,0.7,0.6,15,0.172,73.91
v2_retrained,0.7,0.6,20,0.103,46.73
v2_retrained,0.7,0.7,15,0.172,67.09
v2_retrained,0.7,0.7,20,0.103,43.36
v2_retrained,0.7,0.8,15,0.155,58.36
v2_retrained,0.7,0.8,20,0.103,39.91
v2_retrained,0.8,0.5,15,0.086,63.55
v2_retrained,0.8,0.5,20,0.069,40.73
v2_retrained,0.8,0.6,15,0.086,57.45
v2_retrained,0.8,0.6,20,0.069,38.64
v2_retrained,0.8,0.7,15,0.086,52.36
v2_retrained,0.8,0.7,20,0.069,35.91
v2_retrained,0.8,0.8,15,0.086,46.27
v2_retrained,0.8,0.8,20,0.069,32.36
